path,sentence
common_voice_id_37446006.mp3,apapun yang terjadi semuanya sudah berakhir
common_voice_id_25406324.mp3,kalau sudah pulang rumah pertama tama saya mengerjakan pekerjaan rumah
common_voice_id_25413212.mp3,gigi geraham atasnya sudah turun karena bawahnya kosong
common_voice_id_26258204.mp3,setelah tiba kelompok itu menemukan struktur berbentuk piramida kuno dengan pahatan mistik
common_voice_id_36938278.mp3,pak hayashi bekerja di perusahaan komputer
common_voice_id_26664963.mp3,urusi urusanmu sendiri
common_voice_id_20953977.mp3,tolong nyalakan lampu
common_voice_id_21700014.mp3,mobil kami mogok dijalan itu
common_voice_id_25405269.mp3,tak ada yang dapat merusak persahabatan sejati
common_voice_id_25264705.mp3,saya mendengar cerita menarik dari pak hayashi
common_voice_id_35627685.mp3,bahasa serbia adalah bahasa yang indah
common_voice_id_26010943.mp3,kota terbesar di wilayah ini adalah lahti
common_voice_id_25832047.mp3,pembaharuan bukanlah masalah utama
common_voice_id_36933597.mp3,bukankah itu agak aneh
common_voice_id_26586143.mp3,dapatkah saya mempercayai perkataanmu terhadap itu tom
common_voice_id_25248257.mp3,pak kimura menunjukkan foto kepada saya
common_voice_id_26270377.mp3,banyak dari pesawatnya diparkir di luar dan terdampak cuaca
common_voice_id_35377728.mp3,binatang kecil sangat imut
common_voice_id_25460713.mp3,orang itu telah meminjamkanku dua buku pagi ini
common_voice_id_25348891.mp3,rumah ini memiliki dua kamar mandi
common_voice_id_26242469.mp3,seorang anak laki laki duduk di atas pasir di luar rumah kayu sambil makan
common_voice_id_25440754.mp3,silakan kamu jalan lurus ke depan setelah melewati lampu lalu lintas maka akan sampai
common_voice_id_27143527.mp3,saya bermaksud bersih bersih setelah pulang ke rumah
common_voice_id_35756264.mp3,silahkan menghubungi saya kembali nanti
common_voice_id_25448391.mp3,ini kok lemot ya
common_voice_id_26656414.mp3,tom berjanji padaku bahwa dia akan melakukannya
common_voice_id_25311236.mp3,saya menyalakan televisi
common_voice_id_25957072.mp3,dia menyetujui kontrak tiga tahun dengan klub itu
common_voice_id_25469145.mp3,apa kamu tidak tahu
common_voice_id_26242857.mp3,dikelilingi oleh teluk iligan snorkeling dan pantai adalah beberapa atraksi yang dapat dinikmati
common_voice_id_27457667.mp3,ini sangat merepotkan
common_voice_id_32866508.mp3,percobaannya berhasil
common_voice_id_25359044.mp3,bahasa cina saya kurang bagus
common_voice_id_36805852.mp3,aku ingin mati bersama getter jaani
common_voice_id_26628546.mp3,saya mengambil banyak foto saat jalan jalan
common_voice_id_37404561.mp3,hari ini bapak presiden mengunjungi kobran gempa di lombok
common_voice_id_35863610.mp3,orang yang berambut hitam itu pak matsui
common_voice_id_25407812.mp3,ranjang ini tampak kokoh
common_voice_id_26011043.mp3,program energy quest kini telah dihentikan
common_voice_id_31437621.mp3,aku akan membantumu pindah ke rumah barumu
common_voice_id_25350206.mp3,ini payungnya kan
common_voice_id_26032487.mp3,danau howard dikembangkan sebagai stasiun kereta api
common_voice_id_35117855.mp3,perubahan iklim global mungkin jadi penyebab punahnya dinosaurus
common_voice_id_25969757.mp3,johnson mengajak lyman untuk tinggal di rumahnya dan bekerja di tanah pertaniannya
common_voice_id_19194790.mp3,kamu pasti salah hitung
common_voice_id_27587793.mp3,tolong tafsirkan mimpi anehku
common_voice_id_31437699.mp3,bulan lalu ada toserba dibuka di kota sebelah
common_voice_id_25165414.mp3,kapan terakhir kali kamu menari
common_voice_id_35323614.mp3,ya udah mau kemana nih
common_voice_id_31406618.mp3,sebelah matanya buta
common_voice_id_27458086.mp3,pak kimura suka bunga
common_voice_id_30465549.mp3,dia lebih baik dariku
common_voice_id_27404341.mp3,tidak tidak sakit
common_voice_id_27394541.mp3,luas ya
common_voice_id_36471059.mp3,pekerjaanku telah selesai
common_voice_id_27853158.mp3,saya menerima oleh oleh dari teman yang pergi jalan jalan
common_voice_id_26554122.mp3,bolehkah saya mengunjungimu sore ini atau besok sore
common_voice_id_20953788.mp3,kalau banyak berlatih anda akan menjadi pandai berbahasa jepang
common_voice_id_25718686.mp3,katanya cantik itu relatif
common_voice_id_20955118.mp3,maukah anda memeriksa olinya
common_voice_id_30500216.mp3,aku harus menghormati keinginan tom
common_voice_id_20954242.mp3,rencana siapakah ini
common_voice_id_35744083.mp3,pak matsui larinya cepat
common_voice_id_26264809.mp3,satu orang kulit putih melarikan diri dan dua orang cina dibebaskan
common_voice_id_25248199.mp3,tidak banyak kendaraan yang melintas
common_voice_id_28655303.mp3,cuaca hari ini mendung berawan
common_voice_id_28672338.mp3,saya perlu kamus karena akan menulis karangan di pelajaran besok
common_voice_id_20954748.mp3,ide idenya selalu segar
common_voice_id_25165714.mp3,saya bermaksud belajar di perpustakaan tetapi tutup
common_voice_id_26215640.mp3,ada sedikit alasan untuk menolak perubahan ini sehingga echinosepala diterima secara luas
common_voice_id_25415776.mp3,dia suka mendengarkan musik
common_voice_id_28049637.mp3,saya tidak mau pergi ke sekolah
common_voice_id_27857917.mp3,apa yang sedang kamu pikirkan
common_voice_id_25408097.mp3,kamu harus melakukannya suka tidak suka
common_voice_id_26259263.mp3,kami wajib melanjutkan sampai dua puluh dua
common_voice_id_25969692.mp3,berjalan sesuai keinginan dengan kerja keras dan waktu yang tepat perkin menjadi kaya
common_voice_id_21698845.mp3,percayakah anda bahwa takdir takdir kita dipengaruhi oleh bintang bintang
common_voice_id_25451624.mp3,mau bicara apa
common_voice_id_26686485.mp3,kamu suka selai kacang
common_voice_id_27451134.mp3,tolong datang ke rumahku
common_voice_id_25464790.mp3,saya ingin tinggal di tempat tenang dan cantik
common_voice_id_26747368.mp3,di depan stasiun ada toko bagus
common_voice_id_26549955.mp3,anda akan jadi lebih pandai berbahasa jepang sedikit demi sedikit kalau belajar
common_voice_id_25166177.mp3,toko ini buka sepanjang tahun
common_voice_id_25261785.mp3,sekarang pukul tujuh malam
common_voice_id_21194431.mp3,saya ingin kursi di dekat jasku
common_voice_id_25345767.mp3,tom pergi untuk menemuimu tiga jam yang lalu
common_voice_id_25485999.mp3,bepergian naik pesawat berapa ongkosnya
common_voice_id_27536355.mp3,pesawat itu sudah tak tampak
common_voice_id_26229342.mp3,komunitas tanpa ikatan pine creek juga terletak di kota
common_voice_id_19802427.mp3,jam tangan ini perlu diperbaiki
common_voice_id_27435227.mp3,kuncinya adalah sabar
common_voice_id_25166162.mp3,apartemen ini biaya sewanya mahal
common_voice_id_25378581.mp3,hari ulang tahunku akan segera tiba
common_voice_id_25299022.mp3,saya belanja untuk makan malam di supermarket
common_voice_id_25440848.mp3,jim mahir dalam bahasa perancis dan jerman
common_voice_id_25797543.mp3,waktunya telah tiba kita bisa menjelajah ruang angkasa
common_voice_id_25469878.mp3,tidak boleh masuk kamar ini
common_voice_id_25469455.mp3,ini merupakan idenya dia membuatku melakukannya
common_voice_id_35505763.mp3,sekarang kedua orang tua saya ada di luar negeri
common_voice_id_27458101.mp3,saya tidak bisa percaya bahwa tom adalah seorang kakek
common_voice_id_35347159.mp3,tolong berikan saya bantal dan selimut
common_voice_id_25169587.mp3,tidak tahu mau pergi ke mana
common_voice_id_25407923.mp3,ibu saya lahir pada tanggal dua puluh sembilan november
common_voice_id_35291069.mp3,orang itu meninggal beberapa jam yang lalu
common_voice_id_21698811.mp3,mohon tunggu sebentar
common_voice_id_25970214.mp3,istana persegi panjang mengelilingi taman taman formal bagian utara yang telah dibangun kembali
common_voice_id_25310081.mp3,besok saya akan menelepon pak lee
common_voice_id_36986605.mp3,meskipun kamus tergolong barang mahal tetap saja ada beberapa orang yang tetap membelinya
common_voice_id_32939040.mp3,ia benar benar punya selera humor yang rendah
common_voice_id_25412377.mp3,tom dibesarkan di sebuah desa nelayan kecil
common_voice_id_19821452.mp3,pak matsui duduk di depan saya
common_voice_id_27457968.mp3,koneksi internetku terputus
common_voice_id_34369849.mp3,silakan tunggu dua menit
common_voice_id_26018907.mp3,di antara kontribusi “cuphea” graham terdapat dua volume di dalam seri “systematic botany monographs”
common_voice_id_26228739.mp3,namun kedatangan toyota bukanlah tanpa kontroversi
common_voice_id_26008963.mp3,tetapi keinginan helene yang berlaku
common_voice_id_19705086.mp3,dilihat dari pesawat pulau itu terlihat indah sekali
common_voice_id_21194760.mp3,bukankah saya sudah memperingatkanmu
common_voice_id_21699828.mp3,kemarin saya tidak pergi ke perusahaan tetapi pergi ke rumah sakit
common_voice_id_25627685.mp3,karena tidak menemukan kunci saya mencarinya di dalam tas
common_voice_id_35277617.mp3,untuk alasan inilah saya tidak bisa datang bersamamu
common_voice_id_26270136.mp3,zygentoma juga dinaikkan menjadi status ordo penuh
common_voice_id_25556300.mp3,saya kira orang itu guru bahasa jepang
common_voice_id_27597726.mp3,dia nampaknya amat bahagia
common_voice_id_26265168.mp3,pemukim dari pennsylvania termasuk beberapa belanda pennsylvania tiba pada tahun berikutnya
common_voice_id_25249115.mp3,saudara lelakiku melakukan itu atas namaku
common_voice_id_32866518.mp3,pernahkan kamu melihat patung liberty
common_voice_id_28655300.mp3,maaf apakah saya boleh mencoba memakai baju ini
common_voice_id_32839348.mp3,saya ingin mengunjungi fiji
common_voice_id_21193948.mp3,pak kobayashi memberi separuh roti kepada pak kimura
common_voice_id_25348608.mp3,minta dua coca cola
common_voice_id_25412951.mp3,dia kaya dengan cepat
common_voice_id_25443899.mp3,ada barang lain yang anda mau
common_voice_id_27457649.mp3,aku belum makan siang
common_voice_id_19830389.mp3,saya tidak ingat
common_voice_id_33756659.mp3,pak lee ingin bermain tenis
common_voice_id_25299804.mp3,waktu luangnya digunakan untuk main golf
common_voice_id_25452157.mp3,saya menolong adik perempuan saya membuat pekerjaan rumah
common_voice_id_25832457.mp3,dia selalu melihatmu dia pasti jatuh cinta kepadamu
common_voice_id_23932393.mp3,dua
common_voice_id_25435391.mp3,aku menggenggam sebuah buku
common_voice_id_35291049.mp3,maria adalah kutu buku
common_voice_id_35282255.mp3,tom mungkin masih hidup
common_voice_id_26198455.mp3,rupanya kepergiannya begitu tergesa gesa sehingga dia lalai meninggalkan banyak petunjuk
common_voice_id_26591803.mp3,saya tidak akan bisa datang besok
common_voice_id_31212868.mp3,ia meminta supaya gajinya dinaikkan lagi
common_voice_id_20954332.mp3,bus itu berderak derak saat melaju di sepanjang jalan bergelombang itu
common_voice_id_36921814.mp3,ini hadiah untuk teman temanku
common_voice_id_25415586.mp3,minggu lalu saya tidak bisa belajar karena sibuk
common_voice_id_38010987.mp3,setiap hari saya mendengar berita di radio
common_voice_id_25956791.mp3,ini sudah pernah terjadi beberapa kali sebelumnya
common_voice_id_32512625.mp3,seseorang telah mencuri semua uangku
common_voice_id_25460500.mp3,sepatu saya dan sepatu pak kobayashi sama
common_voice_id_25413559.mp3,bintang yang bersinar di atas sana adalah jupiter
common_voice_id_27536359.mp3,boleh kugantungkan jasmu
common_voice_id_25413065.mp3,saya harus pergi sekarang
common_voice_id_26265137.mp3,bocah itu terbangun ketika matahari terbit
common_voice_id_26930925.mp3,gunung api itu meletus beberapa tahun yang lalu
common_voice_id_19804948.mp3,saya tidak boleh makan daging babi
common_voice_id_26011070.mp3,kelompok kelompok ini dapat digolongkan berdasarkan jenis kisi atau jeruji dua dimensi mereka
common_voice_id_25469947.mp3,tidak ada orang yang cukup memperhatikan tom
common_voice_id_25169678.mp3,doktor membujuknya untuk berhenti merokok
common_voice_id_35627850.mp3,di amerika utara usaha umumnya berpegang pada prinsip pelanggan selalu benar
common_voice_id_35076154.mp3,saya memesan masakan ini
common_voice_id_26252088.mp3,ini adalah versi yang lebih kecil dari anelli
common_voice_id_25361529.mp3,dia malas banget ketemu dokter gigi
common_voice_id_27865431.mp3,saya membawa sapu tangan saat keluar
common_voice_id_25294847.mp3,ini makanan yang tidak dijual di jepang
common_voice_id_30479974.mp3,dapatkah kamu menunggu sebentar
common_voice_id_19338272.mp3,saya tidak menganggap dia jujur
common_voice_id_30500222.mp3,dia bekerja keras untuk membahagiakan anaknya
common_voice_id_25444881.mp3,berapa buah roti yang anda beli
common_voice_id_27404164.mp3,seorang ibu mengikutsertakan putrinya untuk sebuah lomba
common_voice_id_36987098.mp3,apapun yang terjadi semuanya sudah berakhir
common_voice_id_25436649.mp3,saya menyusun dua buah vas di atas meja
common_voice_id_37424239.mp3,apakah di sini sering hujan saat musim panas
common_voice_id_35928972.mp3,keringkan celananya di atas radiator
common_voice_id_25956605.mp3,jalan ini berlanjut menuju arah utara barat laut setelah melewati padang rumput blooming melalui arah dengan sebagian besar pemandangan pertanian
common_voice_id_25451319.mp3,aku paham perasaanmu tetapi ini sudah berakhir
common_voice_id_25931637.mp3,ernst herzfeld mempertahankan bahwa dinasti gondophares mewakili house of suren
common_voice_id_26241196.mp3,tim tersebut telah menginspirasi beberapa warisan
common_voice_id_27587421.mp3,jangan sampai menjadi senjata makan tuan
common_voice_id_20955090.mp3,saya ingin tahu siapa yang akan datang bersama kita
common_voice_id_27360754.mp3,mary belum mulai
common_voice_id_25350471.mp3,benarkah
common_voice_id_25450605.mp3,kiamat sudah dekat
common_voice_id_25407800.mp3,hari ini hari minggu tetapi saya ada kerja
common_voice_id_33453481.mp3,tas itu besar dan berat
common_voice_id_21192628.mp3,hewan dan tumbuhan hidup di planet ini
common_voice_id_35413306.mp3,untuk melindungi kepala harus memakai helm
common_voice_id_26032714.mp3,aku yakin kau tidak benar benar membutuhkannya
common_voice_id_25895896.mp3,jeff peters dari gearworks games memuji pola permainannya menyebutnya unik dan intuitif
